test_id,test_describe,test_priorityh,test_flag,test_mothed,path,date,expected_result,actual_result,test_result
1,新建邮寄单备注-不传入tiket-提示无权限进行操作,P1,1,POST123,/smart/express_order_remark,"{    ""tipsDescription"":"""",""haveSecondOption"":0,
    ""remarkType"":""这是新建邮寄备注test2"",
    ""secondOption"":"""",
    ""tipsDescription"":""""}",,,
2,新建邮寄单备注-正确传入必填参数（haveSecondOption、remarkType），其他均不传入，新增成功，本条数据无二级选项,P0123,1,POST,/smart/express_order_remark,"{
 ""tipsDescription"": """",
 ""secondOption "": """",
 ""haveSecondOption"": 0,
 ""remarkType"": ""这是新建邮寄备注test1""
}","{""success"":true,""message"":"""",""code"":200,""data"":null}",,
3,新建邮寄单备注-haveSecondOption不填-提示haveSecondOption必填,P1,1,POST,/smart/express_order_remark,"{ ""secondOption"":"""",
    ""tipsDescription"":"""",
""remarkType"":""这是新建邮寄备注""}","{""success"":false,""message"":""haveSecondOption:是否包含二级选项不能为空"",""code"":0,""data"":null}",,
4,新建邮寄单备注-remarkType不填-提示remarkType必填,P1,1,POST,/smart/express_order_remark,"{ ""secondOption"":"""",
    ""tipsDescription"":"""", ""haveSecondOption"":0}","remarkType:备注类型不能为空,不能全为空格",,
5,新建邮寄单备注-haveSecondOption、remarkType均不传入-提示haveSecondOption必填,P1,1,POST,/smart/express_order_remark,"{ ""secondOption"":"""" ,""tipsDescription"":""""}",:是否包含二级选项不能为空,,
6,新建邮寄单备注-(haveSecondOption、remarkType)填写，其他都不填写正常生成一条邮寄备注数据,P1,1,POST,/smart/express_order_remark,"{
""haveSecondOption"":0, ""remarkType"":""这是新建邮寄备注test3""}","{""success"":true,""message"":"""",""code"":200,""data"":null}",,
7,新建邮寄单备注-haveSecondOption=1，secondOption填写，其他都填写-新建一条有二级备注配置数据,P0,1,POST,/smart/express_order_remark,"{""remarkType"":""这是新建二级邮寄备注"",   ""tipsDescription"":""这是二级备注的描述"", ""haveSecondOption"":1,""secondOption"":""这是二级备注""}","{""success"":true,""message"":"""",""code"":200,""data"":null}",,
8,新建邮寄单备注-haveSecondOption=1，secondOption不填写，其他都填写-提示二级选项值不能为空,P1,1,POST,/smart/express_order_remark,"{ ""haveSecondOption"":1,
 ""secondOption"":"""",
""remarkType"":""这是新建二级邮寄备注"", ""tipsDescription"":""""}",二级选项不能为空,,
9,新建邮寄单备注-haveSecondOption=1，secondOption为空格，其他都填写-提示二级选项不能为空或空格,P1,1,POST,/smart/express_order_remark,"{ ""tipsDescription"":"""", ""haveSecondOption"":1,
 ""secondOption"":"" "",
""remarkType"":""这是新建二级邮寄备注test4""}",二级选项不能为空,,
10,新建邮寄单备注-haveSecondOption=0，secondOption填写，新增数据没有二级选项,P2,1,POST,/smart/express_order_remark,"{ ""tipsDescription"":"""", ""haveSecondOption"":0,
 ""secondOption"":""不能填写二级选项"",
""remarkType"":""这是新建二级邮寄备注test5""}","{""success"":true,""message"":"""",""code"":200,""data"":null}",,
